t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,SHP1_Obs
0,-0.00776431554598467,-0.00182556694568637,-0.0196427652150428,-0.00220365557774661,46.7320285481518,-1.7084490759362,31.6534295174269
9.5,NaN,NaN,NaN,NaN,NaN,NaN,29.7082143230857
10,NaN,NaN,0.510414160749083,NaN,NaN,NaN,NaN
15,0.516595034635702,0.0759058257346622,NaN,0.240501143144839,1.72600400359664,40.0115926872785,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,29.5917136222666
25,0.4247284057871,NaN,0.258619491949731,NaN,4.28297382089164,NaN,NaN
30,NaN,0.0553709156174953,NaN,NaN,NaN,36.4238326370352,31.8926957163479
35,NaN,NaN,0.185301450705054,0.0703840648000771,NaN,NaN,NaN
40,0.360555095744827,NaN,NaN,NaN,7.8531400274306,NaN,NaN
45,NaN,0.0472315997176463,NaN,NaN,NaN,33.9734843133492,30.3565527409848
50,NaN,NaN,0.154360909370098,0.043170647752172,NaN,NaN,NaN
55,0.396628518176527,NaN,NaN,NaN,13.5431746147806,NaN,30.2638599045844
65,NaN,0.0386155512681155,0.15856006374037,NaN,NaN,28.986463067607,NaN
70,NaN,NaN,NaN,0.0452083571717245,16.8167774687825,NaN,NaN
75,0.365394487467985,NaN,NaN,NaN,NaN,NaN,26.0451020657184
80,NaN,NaN,0.139257445987569,NaN,NaN,NaN,NaN
85,NaN,0.0351347340448611,NaN,NaN,NaN,26.0952980490486,NaN
90,0.323758127371742,NaN,NaN,NaN,18.5423622279376,NaN,NaN
95,NaN,NaN,NaN,0.0350816097691389,NaN,NaN,30.0702608459185
100,0.329217346223852,0.0367610650096378,0.139246127630548,0.0285268398814226,19.8425935055661,23.4799946432539,NaN
150,0.33088300074099,0.0285616333584863,0.13285327185137,0.025799301196878,21.295338265294,21.8814732377292,NaN
200,0.28716185051888,0.0278127203850297,0.0948969535571787,0.0263202386734447,24.9673682268033,23.5099032087895,NaN
250,NaN,NaN,NaN,NaN,23.2105320753522,23.3051349178922,NaN
300,NaN,NaN,NaN,NaN,NaN,21.9430158252828,NaN
