t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA3_Obs
0,0.00175124776948112,0.00297367434799172,44.8643394857959,0.896828058313441,0.174763462729147,8.07804905498602,10.3592961151092,-14.0466150291958,-0.00140905990594628,-0.343956274595388,-1.42471566457673e-05
4.5,NaN,0.222308308833409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,18.3897002690614,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,28.110133667241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,0.0509913790678494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,64.6518044312861,NaN,-35.3970064202682,NaN,0.303187715680351,NaN
9,NaN,NaN,NaN,NaN,1.63464694357778,NaN,10.072170230723,NaN,NaN,NaN,NaN
9.5,NaN,0.0588230455433995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000847064245479209,NaN,NaN
15,0.0291490855635732,0.0293770046810267,24.854676248639,18.566501131819,NaN,236.066135267118,NaN,10.9875407215229,NaN,0.125123436952364,0.000261847403493555
20,NaN,0.0137434880112392,32.6523756949479,18.8761108676251,3.59823265612967,NaN,178.239029386423,NaN,-0.00103655125269851,NaN,NaN
25,0.0197437966691641,NaN,NaN,16.3023218431006,NaN,671.724813793518,284.435781818109,-0.063713433405324,NaN,0.169014197080658,0.000416651257751289
30,0.0162401845421361,0.00600666378186654,28.4813930478959,NaN,3.41982696103105,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,0.00997398113671879,NaN,16.9604149042829,NaN,791.807374472283,551.752635538073,31.9834775870819,0.00373541637299498,-0.418379389221762,NaN
40,0.0132530472532863,NaN,27.3103495134229,NaN,3.76187527845448,NaN,NaN,NaN,NaN,NaN,0.000433975781555991
45,NaN,0.00472811506721853,NaN,13.6248035625647,NaN,845.112300766385,NaN,182.803089909736,0.00806192461940132,NaN,NaN
50,0.0111738195823465,NaN,32.1347515484178,14.5623762449046,3.80495018006675,NaN,770.879331596141,NaN,NaN,1.09384072707977,NaN
55,NaN,0.00108144575746783,NaN,NaN,NaN,817.928159661923,NaN,NaN,NaN,NaN,0.000427224010652656
60,NaN,NaN,29.0754242263883,NaN,3.19318164969171,NaN,830.777186386214,364.339353348932,0.0218681900672336,1.89775850430712,NaN
65,0.00985937843134499,NaN,NaN,14.62573095546,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,756.916883212062,NaN,506.589771788764,NaN,NaN,NaN
75,NaN,NaN,35.5374407828976,11.8508139354193,2.9627732063099,NaN,732.773660322892,NaN,NaN,4.0105608838368,0.000354945420379161
80,0.00735256769599116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0371294519090474,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,776.250019850581,NaN,675.264223644189,NaN,NaN,NaN
90,NaN,NaN,31.581526346815,13.2331927043863,2.7282391629918,NaN,769.017850649172,NaN,NaN,7.94273152380536,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0420037942652161,NaN,0.000309557180220242
100,0.00662645058522745,NaN,33.1731003546168,10.8194650434057,2.71697801080704,661.737137660898,755.061952237188,750.970977406969,0.0423827345557611,9.79171771439139,0.000320937740171344
150,NaN,NaN,39.498929550597,9.57183543617965,2.0755916716046,427.466881909611,494.284338536904,667.530011819651,0.0379247837642058,16.0564641427693,0.000233557073483709
200,NaN,NaN,NaN,NaN,1.73172744206011,408.841524656039,438.716856763596,487.631191101873,0.0300806228931568,NaN,0.000192993707768986
