t,epo_level,p1EpoRpJAK2_Obs,pSTAT5_Obs
9,2.5e-09,0.0935031549002579,37.2755182101331
9,7.905e-09,0.0987308257189345,40.9942190221386
9,1.25e-08,0.0968200453750725,38.0122983450238
9,1.25e-08,0.0321112020750174,8.73646792444169
9,1.25e-08,0.0268149610159397,9.50593554859945
9,1.75e-08,0.0335617414248695,5.58705039138751
9,2.5e-08,0.0379938495924019,7.40439577476685
9,2.5e-08,0.120987331003584,43.563624431124
9,2.5e-08,0.107497870949431,40.6064210973908
9,3.95e-08,0.108069785438561,40.4701054657693
9,3.95e-08,0.237469926122267,44.1244873815332
9,3.95e-08,0.114347140124141,43.4455559242369
9,7.9e-08,0.0467720444088085,17.8058562813512
9,7.9e-08,0.045434215428415,16.2283322208227
9,7.9e-08,0.043989490504488,13.147921090149
9,1.25e-07,0.00654574704669188,4.07177792281672
9,1.25e-07,0.0507229966478785,23.4340429790321
9,1.25e-07,0.0556058110630249,21.99275876062
9,1.7675e-07,0.0536781105322644,22.853351135419
9,1.7675e-07,0.175491008561554,43.3250993045377
9,1.7675e-07,0.0201415372147064,4.67573818676089
9,2.5e-07,0.0867669513386238,32.9458638207825
9,7.905e-07,0.0837090848722238,31.2369109603005
9,2.5e-06,0.0841923282897517,33.1969447156103
