t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs
0,0.00412562188991341,0.00100339220859112,0.000359924977556204,48.4305060627569,-0.0459101799108275,0.0185866130000334,0.415933468055933,-1.58529539401783e-06,4.18805900873607e-07
10,0.300801402104643,0.0142462330207688,0.00318976646590068,48.9532930351812,NaN,2.39721395285665,NaN,1.76267320938441e-06,NaN
15,NaN,NaN,NaN,NaN,0.241079177967983,NaN,-1.74765133960479,NaN,4.31108161155634e-07
20,NaN,0.0211011333750874,0.00926676421744037,NaN,NaN,NaN,NaN,NaN,NaN
25,0.226246745794701,NaN,NaN,51.7479619951522,0.379973908140389,1.81726247720182,-0.119150682942132,7.35084035473532e-06,6.10262742474394e-06
30,NaN,0.011512526505057,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0.181409150755241,NaN,0.00398716338553839,NaN,NaN,7.02825455245778,NaN,NaN,NaN
40,NaN,NaN,NaN,43.6680830158842,0.584337658127898,NaN,1.51592864061956,1.11277274912621e-05,1.22532903564713e-05
45,NaN,0.0066013419446717,0.00249832031935853,NaN,NaN,NaN,NaN,NaN,NaN
50,0.140990959814242,NaN,NaN,NaN,NaN,18.8980225949292,NaN,1.4420701575857e-05,NaN
55,NaN,NaN,NaN,43.0041327529291,0.573731335005512,NaN,3.34101498402829,NaN,1.31293789656089e-05
60,NaN,0.0047217506772028,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,0.127680016133446,NaN,0.0012136401180433,NaN,NaN,22.2023199455486,NaN,NaN,NaN
70,NaN,NaN,NaN,47.7609277121533,0.508765836250011,NaN,8.95880343219162,1.54946408659812e-05,1.56598104926523e-05
75,NaN,0.00462858197793968,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,0.127858167139895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,0.0010899768996018,NaN,NaN,30.5875047312914,NaN,1.62445107417e-05,NaN
90,NaN,NaN,NaN,49.0969841469109,0.573145254807859,NaN,20.9511575759578,NaN,1.49355012128207e-05
95,NaN,0.00470645040356089,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.126215897520018,0.00440463680343925,0.000857875670748872,46.3707559692979,0.609022378416304,32.0309008186218,22.761568140946,1.63945103165245e-05,1.58180200956096e-05
150,0.0992060909702272,0.00436532805176746,NaN,42.8277614574547,0.622099144694392,32.0408503518198,31.6976555639243,1.548242768461e-05,1.60087501901697e-05
200,0.114102984171617,NaN,NaN,51.2920566574282,0.498722773435951,30.2680586103921,32.9697885062373,1.49516692079728e-05,1.47154729363486e-05
250,NaN,NaN,NaN,41.2685144027713,0.580494588648188,30.8374264615942,31.8877432974041,1.53114351184157e-05,1.54489828631897e-05
300,NaN,NaN,NaN,52.3752427077814,0.544318735112541,29.5095603793897,32.9947994588016,1.53827799398567e-05,1.35857409649857e-05
