t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA3_Obs
0,0.000990856575096879,0.00280553296757897,48.7886148325189,2.11525329666182,-0.241046505224632,-64.7842642426955,-78.8086528930523,50.3080673151802,0.000558819796354547,0.175135571992179,4.22550450521371e-06
3.5,NaN,0.288392698694923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,13.9538274375481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,2.07296631777816,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,0.656921600682232,NaN,36.2254640605145,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0.107538731235215,NaN,NaN,NaN,NaN,NaN,NaN,-17.572754938997,NaN,-0.172427111807747,NaN
8.5,NaN,NaN,NaN,NaN,NaN,143.297583486177,64.9106279293378,NaN,NaN,NaN,NaN
10,NaN,0.511901338591574,4.53174339422474,NaN,NaN,NaN,NaN,NaN,0.00289789746594225,NaN,0.000321089866906955
15,0.0719965898363654,0.222788381065235,NaN,37.7099783110639,5.88202567544326,585.571771962749,149.025004284716,4.48859409658649,NaN,-0.723918472578463,NaN
20,NaN,0.119496934474404,7.72306650977277,33.6538551542918,6.05040841561042,NaN,NaN,NaN,NaN,NaN,NaN
25,0.056801693555866,0.0713134097381935,8.35750922530341,NaN,NaN,1094.27683109468,470.716993300727,62.8928933009808,0.000188231403966629,0.60746062488893,0.000844857593097365
30,NaN,NaN,NaN,29.4632390200952,7.07589666873191,NaN,NaN,NaN,NaN,NaN,NaN
35,0.0418780344162793,0.00978760272965246,14.2524894945488,NaN,NaN,1507.81384739547,1022.42618383956,68.8013764354221,NaN,-0.218981608588402,0.000798706700148244
40,NaN,0.0389691332616161,14.357484542504,29.5002456905151,6.21608029331311,NaN,NaN,NaN,0.0144764817446067,NaN,NaN
45,0.0366160958238589,NaN,NaN,NaN,NaN,1448.6214028815,1214.97409168513,354.750511655489,NaN,1.04077846971346,NaN
50,NaN,0.0247026087979502,18.0593684637719,25.8178223044072,6.07400895172092,NaN,NaN,NaN,NaN,NaN,0.000738099394140826
55,0.0303335465800766,NaN,NaN,NaN,NaN,NaN,NaN,551.022318745515,0.0315984842889331,3.44016806483336,NaN
60,NaN,NaN,NaN,24.0469488611033,4.62910966953105,1488.20220935399,1476.54667514668,NaN,NaN,NaN,NaN
65,NaN,NaN,20.125199033957,NaN,NaN,NaN,NaN,768.798621212114,NaN,NaN,0.000691826155180565
70,0.0211294983196037,NaN,NaN,NaN,NaN,1392.67078797278,1444.73334973518,NaN,0.0494074864499622,7.53675053066641,NaN
75,NaN,NaN,23.847075415028,19.6625627070684,4.44931800724536,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1086.86935436926,NaN,NaN,NaN
85,NaN,NaN,NaN,16.6777697326219,NaN,NaN,1367.54822172007,NaN,NaN,12.0242117235935,0.00059234447007341
90,0.024365997732552,NaN,25.0378834719443,NaN,4.41472931149665,1075.17660375253,NaN,NaN,0.0728098234751281,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1272.48584742447,NaN,NaN,NaN
100,0.025134705845598,NaN,28.4773251378088,14.6299728258565,3.63659864700436,1124.0601474988,1137.9823879803,1297.77511896275,0.0747297529828322,16.89742711215,0.000420165117440451
150,0.0210564233959142,NaN,35.3607411276697,12.0182878762488,2.41937614401077,692.656495659949,789.627536492812,1059.89551110058,0.0613120190863495,27.3767134869522,0.00030497287389794
200,NaN,NaN,NaN,NaN,NaN,721.770319919669,647.119382865177,781.237526905487,0.0461013894383133,NaN,0.000274663998825987
