t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs
0,-0.0253441797904853,0.00316226082780994,0.00577695218474388,47.2183241667942,0.609485658505965,-23.9148230396202,1.75815855354667e-05,5.27872807699991e-05,-6.16896839129455e-05
6.5,NaN,NaN,0.603945651427529,NaN,NaN,NaN,NaN,NaN,NaN
8,0.455587777274196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,-41.5445721565966,NaN,NaN,NaN
10,NaN,0.0850653251579135,NaN,4.58782748044158,36.0851446658745,NaN,NaN,NaN,NaN
15,0.470963151709721,NaN,0.243861309876145,NaN,NaN,NaN,NaN,0.000501966719236952,0.000601492032671413
20,NaN,NaN,0.124350530230943,8.13775355000626,30.3499856716055,-12.7888334340339,0.000777684231439396,NaN,NaN
25,0.355827649742236,0.055374015961801,NaN,NaN,NaN,74.4624902908426,NaN,NaN,NaN
30,NaN,NaN,0.0611991613307346,NaN,31.5307049506881,NaN,NaN,NaN,0.00700263734068611
35,0.384556145131861,NaN,NaN,10.9945625178843,NaN,108.642846426565,NaN,0.000791276747947755,NaN
40,NaN,0.0391100736674021,0.0356999649085856,NaN,29.9691683838319,NaN,0.000779863740055677,NaN,NaN
45,0.357830909181721,NaN,NaN,18.8211113586771,NaN,377.303872157095,NaN,NaN,0.0167088939108135
50,NaN,0.030794437203092,0.018952512758395,NaN,NaN,NaN,NaN,0.000775166285949947,NaN
55,0.345612596768288,NaN,NaN,NaN,23.3613661125774,NaN,NaN,NaN,NaN
60,NaN,NaN,0.0328066503630189,22.6817663083689,NaN,719.268707221638,0.00066049876223973,NaN,0.0242211440769648
70,0.26482034614412,0.0227237880338772,NaN,NaN,17.2851147422628,943.342373406812,NaN,0.000610427999425039,NaN
75,NaN,NaN,0.0122290307614823,28.1285228890723,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0314754578302491
85,0.311961414497238,0.0255127835378557,NaN,NaN,16.7569648648805,1221.3073791529,0.00059059789930105,NaN,NaN
90,NaN,NaN,0.0135522592205246,27.305416659641,NaN,NaN,NaN,0.000536900501034014,NaN
100,0.289678066837023,0.0246754275716733,NaN,29.0317434780633,13.5764273263334,1354.59358124938,0.000473151033737872,0.000496381732197302,0.032883116306184
150,0.297836315713192,0.0214394909981003,NaN,33.3142093739462,12.5328817362,1011.45243643992,0.000293604018029822,0.000345165722297042,0.0356772117225612
200,NaN,0.0219857092788725,NaN,36.0747575362829,13.4224743813263,731.967469500572,0.00029409498457181,0.000301400344385124,0.0359594814830469
250,NaN,NaN,NaN,35.5208653367794,11.9103498884977,657.238998749424,0.000269413909161991,0.000272526146548863,0.0386880490251103
300,NaN,NaN,NaN,NaN,NaN,NaN,0.000254779030671994,NaN,NaN
