t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs,SHP1_Obs
0,0.000955879610634034,0,0.0010589482013475,9.68485941875737e-05,48.0485990329052,0,0.00966589825672934,0,0.967964618372532,0.930181987766649,0.000101223171534169,0,1.13110579241986e-06,1.01734723802995e-06,9.02479755164668e-07,9.18930533331433e-05,0.0101473414981967,30.0453754569391
15,0.41038771056548,0.0813946418499135,0.372110915218524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.1240423338539
20,NaN,NaN,NaN,0.150191799675257,9.33709487993832,NaN,NaN,NaN,349.939016811346,8.41425810621881,0.00053164910688096,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,32.0835270456355,NaN,1084.68582860582,NaN,NaN,NaN,0.0363034194739807,NaN,NaN,NaN,NaN,NaN,NaN
30,0.372567959935009,0.0471580772091314,0.181838976905019,NaN,NaN,NaN,7.14236202942231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.3439047051079
40,NaN,NaN,NaN,0.0476454760476567,NaN,NaN,NaN,NaN,1143.8578044249,NaN,0.0126888458542157,NaN,NaN,0.000848458603312398,0.000829824471697673,NaN,1.6473848181604,NaN
45,NaN,0.0351446627057081,NaN,NaN,18.3501631368146,NaN,NaN,1640.38707386888,NaN,306.209185288816,NaN,NaN,NaN,NaN,NaN,0.0171300004410399,NaN,NaN
50,0.319861146060729,NaN,0.115280406781506,NaN,NaN,24.325629583107,NaN,NaN,NaN,NaN,NaN,2.00424542106601,0.000810166014878794,NaN,NaN,NaN,NaN,31.3819356134459
55,NaN,NaN,NaN,NaN,NaN,NaN,5.78569154413958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1507.64929025662,NaN,0.0428625119547517,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,0.026061984289884,0.095508887143322,0.0220980083695351,24.3127361006767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,0.324064586201992,NaN,NaN,NaN,NaN,NaN,NaN,1273.52873069955,NaN,954.931524559198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.95658571275895,NaN,0.000583013282332703,NaN,NaN,NaN,27.7636904208921
