t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs
0,0.00105118884305256,0,1.04816286276881e-05,44.2797644999064,0,0.10045926489315,0,9.40948057949083e-08,9.86018358521727e-08
8.5,NaN,NaN,0.00214955276959536,NaN,NaN,NaN,NaN,NaN,NaN
10,0.311385121012738,0.0142107814259474,NaN,48.3184916041664,NaN,NaN,NaN,7.3478500534277e-07,NaN
15,NaN,NaN,NaN,NaN,0.247228622555752,0.0941867655785587,1.46770987045985e-06,NaN,1.90921425135126e-06
20,NaN,0.0219284626974824,0.0097708298003529,NaN,NaN,NaN,NaN,NaN,NaN
25,0.224075059622526,NaN,0.00802109166260696,43.0104494381395,0.466873432235695,0.1567846547214,NaN,6.17711632376903e-06,6.15148983735662e-06
30,NaN,0.0123048012767427,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0.153820359464116,NaN,NaN,50.0263385213615,NaN,NaN,0.000994967456156095,1.06783310959816e-05,NaN
40,NaN,NaN,0.00268839814262832,NaN,0.569762874810345,1.06340877007965,NaN,NaN,1.2061039827043e-05
45,NaN,0.0060590873061203,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,0.151798696471259,NaN,0.00153048374455709,44.3800874564808,NaN,NaN,0.0108389010862262,1.53178514500542e-05,NaN
55,NaN,NaN,NaN,NaN,0.59106456731286,4.17688257846097,NaN,NaN,NaN
60,NaN,0.00544688143536816,NaN,47.0385618755563,NaN,NaN,NaN,NaN,1.56289435358429e-05
65,0.137517043363123,NaN,0.00115859966858109,NaN,NaN,NaN,NaN,1.49308178453293e-05,NaN
70,NaN,NaN,NaN,NaN,0.573189566663597,9.62213044229789,0.0554036740933389,NaN,NaN
75,NaN,0.00479217552460905,NaN,NaN,NaN,NaN,NaN,NaN,1.71826369573338e-05
80,NaN,NaN,0.000941513662703127,46.0184915340726,NaN,NaN,NaN,1.51886695045267e-05,NaN
85,0.1103394552331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.565708921609414,18.6052221388625,0.163236243644401,NaN,NaN
95,NaN,0.00392948217335362,NaN,50.2658671838329,NaN,NaN,NaN,NaN,1.66480205181844e-05
100,0.127881720063745,0.00351401687583127,0.000926140295282357,43.8168890549128,0.711896117176243,24.4418512598337,0.251930664270414,1.6822779305632e-05,1.65165490424846e-05
150,0.11595437894638,0.00385133777287396,NaN,42.9715356846296,0.550431101962465,30.8934679483506,0.586556451820598,1.61501286136917e-05,1.43497884872134e-05
200,0.122343361831721,NaN,NaN,47.7981381456525,0.550267464033632,36.0020364601301,0.802800626544993,1.52167717094961e-05,1.56158705987242e-05
250,NaN,NaN,NaN,51.6185091200711,0.573406042368562,31.6132134343045,0.88260398346855,1.37428213238561e-05,1.65026552302464e-05
300,NaN,NaN,NaN,49.7457060870493,0.580238292853384,30.7172908960716,1.0577409088273,1.63994526541113e-05,1.25539771584408e-05
