t,AC_Obs,RIIp_cAMP_2_Obs,RII_2_Obs
0,1.16801496880188,0.0016250084439199,0.0652801334333926
8,0.890697006242166,NaN,NaN
15,0.984826868664945,NaN,NaN
20,NaN,0.00358070710387767,0.0504172764907882
25,1.02023989948995,NaN,NaN
35,1.25045307909258,NaN,NaN
45,NaN,0.00217918576880031,0.0583395134722156
50,0.994518377995271,NaN,NaN
60,0.93955355143359,NaN,NaN
70,NaN,0.0132964878430981,0.0551636050619576
80,0.905761878252395,NaN,NaN
95,NaN,0.0137316625056776,0.0830001211984955
100,0.737360661115593,NaN,0.017541774178787
150,NaN,0.0113313386482181,0.0539734780129543
200,NaN,0.00999141452764693,0.076190616719713
250,NaN,0.0105069174414024,0.11235405181316
300,NaN,0.00867434334402468,0.107687307418362
350,NaN,NaN,0.0923651477191226
400,NaN,0.00932731973873613,NaN
450,NaN,NaN,0.11469142674061
