t,AC_Obs,RIIp_cAMP_2_Obs,Csub_Obs
0,1.14867571319637,-0.00061488217665124,0.38275979228587
8,1.04483284830412,NaN,NaN
15,1.47300186669654,0.00192693002059263,NaN
25,1.00500329771184,NaN,0.2303038678014
30,NaN,0.00191364671398354,NaN
35,0.869989843666005,NaN,NaN
45,NaN,-0.000295699040329688,NaN
50,1.17226042982452,NaN,0.316423509223212
60,1.08303486668538,NaN,NaN
65,NaN,0.0185014484106998,NaN
75,NaN,NaN,0.296181993214551
80,0.714070768753069,NaN,NaN
85,NaN,0.0129610392277428,NaN
95,0.798158098167843,NaN,NaN
100,0.75699587679565,0.0127157855236011,0.45374622652019
150,NaN,0.011408947657917,0.447385089774281
200,NaN,NaN,0.368016978052265
250,NaN,NaN,0.252656843584878
300,NaN,NaN,0.363502851008388
350,NaN,NaN,0.375484378333867
450,NaN,NaN,0.249231088710441
