t,AC_Obs,RIIp_cAMP_2_Obs,RIIp_2_Obs
0,1.08324151859119,0.00129331049871285,0.298546658966722
0.15,0.59008070981823,NaN,NaN
0.3,0.639206853669571,NaN,NaN
0.5,0.594641728611139,NaN,NaN
0.7,0.44912342508952,NaN,NaN
0.9,0.60672042632916,NaN,NaN
1,0.595496548998419,NaN,NaN
1.5,0.66314513961006,NaN,NaN
2,0.582170554298709,NaN,0.25747701196844
2.5,NaN,0.0287651819960718,NaN
4,NaN,NaN,0.294412077967771
5.5,NaN,0.0219302956820094,NaN
6.5,NaN,NaN,0.300164651914771
8.5,NaN,0.018092079793738,0.495053640905149
10,NaN,0.0108003745132971,0.426405561955998
15,NaN,0.0165236859958464,0.336148061539501
20,NaN,0.012052320309739,0.453721046871382
25,NaN,0.0104244845806818,0.414266255669441
30,NaN,0.00875345418660284,0.286546908345744
40,NaN,0.013245312502474,0.485345614336161
