t,AC_Obs,RIIp_cAMP_2_Obs,RII_2_Obs
0,1.26789815695906,-6.27157302399718e-05,0.059840127917168
9,0.957624139251827,NaN,NaN
10,NaN,-0.000912889803753484,NaN
15,NaN,NaN,0.0601954887074817
20,0.740318880033304,NaN,NaN
25,NaN,-0.000651631340789335,NaN
30,1.13123064046372,NaN,0.0670966404288848
35,NaN,0.000798765463771687,NaN
40,0.914434054992967,NaN,NaN
45,NaN,NaN,0.0596370968274218
50,0.723266618694359,0.000285758807883283,NaN
65,0.688805124916542,0.0141219592072232,0.0498528323151932
80,NaN,0.0105886142502672,NaN
85,0.658406567026644,NaN,0.0503021279312743
100,0.897796067696728,0.0129116408734997,0.0381092082274798
150,1.08163940601617,0.0104949029535507,0.0497302187460283
200,NaN,NaN,0.045293627744908
250,NaN,NaN,0.046812685520298
