t,RIIp_cAMP_2_Obs,Sp8_Br_cAMPS_Obs,RIIp_2_Obs
0,0.000647553690058988,0.117187385209679,0.173481935826501
4.5,0.000785734578520945,NaN,NaN
6,NaN,-1.44279900121522,NaN
6.5,NaN,NaN,0.272630406546424
9.5,0.00081293607306386,NaN,NaN
10,NaN,-0.314524893419705,NaN
15,3.11736093286815e-05,NaN,0.341081240384009
20,5.63940760556977e-05,5.88851161659597,0.409307713178724
25,NaN,5.31477039051533,NaN
30,0.000241350193828159,NaN,0.347593196271886
35,NaN,8.97399959213324,0.468026516853937
40,9.17907800881574e-05,NaN,NaN
45,NaN,10.5784042677848,0.485677537702983
55,NaN,8.92393174878258,0.422248381275379
65,NaN,NaN,0.495121166792253
80,NaN,NaN,0.519417350321221
95,NaN,NaN,0.403075072749449
100,NaN,NaN,0.440165477400547
