t,Csub_Obs,RIIp_2_Obs,RII_2_Obs
0,0.268230328473339,0.269873132184707,0.0727604996074181
6,0.357082932441116,NaN,NaN
8.5,NaN,0.264621488069729,NaN
10,NaN,NaN,0.0649247000019769
15,0.251882523675355,0.266517736655738,NaN
20,0.281488481439512,NaN,0.0545965341170852
25,NaN,0.29526976204426,NaN
30,0.263584130513474,NaN,NaN
35,0.269598971354151,NaN,0.0603860511413266
40,NaN,0.270031049824487,NaN
45,0.331367708864757,NaN,0.056119681895538
50,NaN,0.330837835359533,NaN
60,0.453929638393245,NaN,0.0559078526417911
70,NaN,0.240269194103995,NaN
80,NaN,NaN,0.0478621063778899
100,NaN,NaN,0.0452866314947076
