t,RIIp_cAMP_2_Obs,RIIp_2_Obs,RII_2_Obs
0,0.00140336780025157,0.324467212322377,0.06553604755108
6,0.004055563769481,NaN,NaN
7,NaN,0.321758501140163,NaN
10,0.00402909283221722,NaN,0.0595904683487502
15,NaN,0.2865481521201,NaN
20,0.00557625224220992,0.230665425507642,NaN
25,0.0054189834198642,NaN,0.0482351499032502
30,NaN,0.259585809731745,NaN
35,0.00455335671743794,0.263780304553426,0.0521198841468164
45,0.00435440247306865,0.290242228705064,NaN
50,NaN,NaN,0.055306439242097
55,0.00387545166207917,0.335002770675371,NaN
65,0.00448250060805508,NaN,0.0583230025940658
70,NaN,0.30184951531581,NaN
80,NaN,0.288502887178621,NaN
85,NaN,NaN,0.0490802893240141
95,NaN,0.279704489399158,NaN
100,NaN,0.205492355172943,NaN
