t,RIIp_cAMP_2_Obs,Sp8_Br_cAMPS_Obs,RIIp_2_Obs
0,0.000738797019845101,0.20150486437634,0.209895566657026
3.5,NaN,1.0415170100873,NaN
5.5,0.000246481708853851,NaN,NaN
7.5,NaN,4.11177322501718,NaN
9.5,NaN,NaN,0.407021338414183
10,0.000117081956394668,5.48267068111987,NaN
15,9.79150899951418e-05,7.68189691462491,NaN
20,NaN,5.86445608211191,0.538951982686832
25,2.64491465413801e-05,8.25500045269289,NaN
30,-8.48186481936182e-06,9.12590225570811,0.505481771200916
35,NaN,9.51213797806717,NaN
40,5.23079031701443e-05,NaN,NaN
45,NaN,10.0717769612529,0.581781303523154
50,NaN,9.07032281171871,NaN
55,NaN,NaN,0.367396602368888
60,NaN,7.73858823352367,NaN
75,NaN,8.30842142841989,0.503325956853765
90,NaN,NaN,0.588775922571753
