t,AC_Obs,RIIp_cAMP_2_Obs,RIIp_2_Obs
0,1.00127206636288,0.000914999635039393,0.243669548133091
7.5,0.89682916367973,NaN,NaN
10,NaN,NaN,0.209629644880781
15,0.931685589147305,NaN,NaN
25,1.01791541583234,0.00501911293687094,0.26377005289707
35,0.93587444338194,NaN,0.232873194938351
45,1.07163910065922,-0.00229540780679022,NaN
50,NaN,NaN,0.328279185643015
55,0.578396642320202,NaN,NaN
65,NaN,NaN,0.307391867781659
70,0.781714480780316,0.0150063119901966,NaN
80,NaN,NaN,0.322730973467688
90,0.859506826920204,NaN,NaN
95,NaN,0.0142688767392638,NaN
100,0.516467784775678,NaN,0.383217063433128
150,NaN,0.0115229228544688,0.443865429445764
200,NaN,0.0101976186737804,0.507610451921829
250,NaN,0.0140660408572882,NaN
300,NaN,0.0156004848257622,NaN
350,NaN,0.0181121276821923,NaN
450,NaN,0.00922216099969727,NaN
