t,AC_Obs,RIIp_cAMP_2_Obs,RII_2_Obs
0,0.90647242438933,3.68383458946644e-05,0.0766023469551425
3.5,0.945757027520466,NaN,NaN
5,NaN,0.00337103997373771,NaN
7,1.01116317164692,NaN,NaN
10,1.21657412432807,-0.000671807803625116,0.0445917555767774
15,0.566884391476777,0.0227669145926214,NaN
20,0.324498312252848,0.0151401584765822,0.0484775181420379
25,0.767138291928095,NaN,NaN
30,0.733542040111695,0.0146016017836383,NaN
35,NaN,0.0111836292358566,0.0506226405630307
40,0.654971906309332,NaN,NaN
45,NaN,0.0149651828565448,0.0485318601823925
50,0.58575734478034,NaN,NaN
55,NaN,0.0151696689552215,NaN
60,0.481112623259066,NaN,0.0249393568341348
65,NaN,0.0122839807083129,NaN
75,NaN,0.0112485789624719,NaN
80,NaN,NaN,0.0508006108559262
