t,RIIp_cAMP_2_Obs,RIIp_2_Obs,RII_2_Obs
0,0.000564391811922922,0.244882861620035,0.026672429373142
20,NaN,NaN,0.0457674978693162
25,0.0005812855514084,0.212278173318398,NaN
40,NaN,NaN,0.0648427020993761
50,0.000692968877538859,0.224040809483391,NaN
65,NaN,NaN,0.0494990155707114
75,0.000893150420719178,NaN,NaN
80,NaN,0.265807848530044,NaN
90,NaN,NaN,0.0526899682002841
100,0.000579431219332401,0.232161276863097,0.122735793315439
150,0.000533626736672982,0.303057061955058,0.150489496514254
200,0.000419705250748472,0.291663999269105,0.228232156118944
250,0.000588417506048671,0.31881240321101,0.170155036769476
300,0.000306276548361178,0.235173372061822,0.275505614291853
350,0.000590765138652532,0.144041600208663,0.244095362226418
450,0.000364931272774433,0.197356289526935,0.333212109061481
