t,AC_Obs,RIIp_cAMP_2_Obs,Csub_Obs
0,0.84788704677978,0.0010953105609932,0.25556116406327
6,0.804466060090173,NaN,NaN
15,0.841056877963902,NaN,NaN
20,1.21266175835162,NaN,NaN
25,0.871148627527836,-0.000184606371317458,0.244632895235775
35,0.904630358795996,NaN,NaN
45,0.738172572574719,0.000879388485442551,NaN
55,1.14862310757592,NaN,0.212140431003822
70,1.27818804092304,0.0123639914909655,NaN
80,NaN,NaN,0.315327284746388
85,0.916715055246273,NaN,NaN
100,0.821987528219289,0.0121147061390014,0.310929135531586
150,NaN,0.00837017013674857,0.192387536398058
200,NaN,0.00663006868295823,0.160713004088445
250,NaN,0.00733399391786633,0.0395640663122881
300,NaN,0.00689586420972702,0.0727908770937895
350,NaN,0.00569769709808255,0.0671302995801456
450,NaN,NaN,0.0656940842849222
