t,AC_Obs,RIIp_cAMP_2_Obs,Csub_Obs
0,0.820928607956167,0.00360795689279047,0.343144562065698
3.5,1.03741489435938,NaN,NaN
6,NaN,0.00020895929336657,NaN
7,0.869869329058281,NaN,NaN
8,NaN,NaN,0.353123099269115
10,0.814758594411384,-0.000916635353047587,NaN
15,0.624928817382184,NaN,0.615671442901506
20,0.552284628988737,0.01466260525914,NaN
25,0.623311110006226,0.0143149349414465,0.449688348359337
30,0.382451691891617,NaN,NaN
35,NaN,0.0122381290547418,0.32255680709835
40,0.543262757506605,NaN,NaN
45,0.530702522457726,0.0139012443691063,0.610732678453453
55,0.675813190259112,0.0123209076179998,0.527785033881238
70,NaN,0.0147680968749925,0.47994369464056
85,NaN,NaN,0.521794911972483
100,NaN,NaN,0.521124152788955
