t,AC_Obs,RIIp_cAMP_2_Obs,Csub_Obs
0,0.924245632831907,-0.00144000983527369,0.266900489048294
6.5,0.977438031856904,NaN,NaN
10,NaN,NaN,0.250683235932537
15,1.34015616786515,NaN,NaN
20,0.980084150213721,0.00139757191104433,0.322566220676536
30,1.4245622211407,NaN,NaN
35,NaN,NaN,0.39627018628992
40,0.922378063564164,0.00162840082862403,NaN
45,NaN,NaN,0.245441879142413
50,0.942717057115998,NaN,NaN
60,0.930809225967493,0.00105198051333836,0.370752903918596
70,NaN,NaN,0.471529863018965
75,0.715843886580214,NaN,NaN
85,NaN,0.0100496580700381,0.520113931954653
90,0.936528950830245,NaN,NaN
100,0.551780006611592,0.0125163942113638,0.529032525184826
150,NaN,0.0145035699226205,0.503598634147564
200,NaN,0.0123317923154098,0.530874719455232
250,NaN,0.0115088923532276,NaN
300,NaN,0.0101001793649394,NaN
350,NaN,0.0127113966103295,NaN
450,NaN,0.00999630532766677,NaN
