t,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,SFK_Obs
0,9.85990528558284e-09,0,5.90433860312518e-10
15,NaN,2.07371007313923e-11,7.18109450253099e-13
25,6.99571265575321e-07,NaN,1.03741118058245e-12
30,NaN,1.41346738125657e-11,NaN
40,NaN,NaN,1.30790707810458e-12
45,NaN,2.95066324915241e-11,NaN
50,1.69517445193937e-06,NaN,NaN
60,NaN,NaN,1.82210592852116e-12
65,NaN,1.95480200336261e-11,NaN
75,2.48338188585158e-06,NaN,2.14119414300642e-12
85,NaN,1.61398655859544e-11,NaN
100,3.56769693001136e-06,2.01768894995676e-11,8.70214858833691e-12
150,2.94723937081728e-06,1.44704939196975e-11,NaN
200,3.70858137495211e-06,1.60665367672771e-11,NaN
