t,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs,SFK_Obs
0,1.09901159758695e-11,0.000517623051824048,3.8446949801656e-10
5.5,1.53403872813781e-11,NaN,NaN
10,1.50665962397907e-11,0.000818339839229246,NaN
15,1.91503350678465e-11,NaN,NaN
25,1.28659380362243e-11,0.000756245049092505,5.00255284301021e-10
30,1.60048178560226e-11,NaN,NaN
35,NaN,0.000446538783563236,NaN
40,2.3024091226589e-11,NaN,NaN
50,NaN,0.000702794812741182,5.1317424219639e-10
65,NaN,0.000618844289630186,NaN
80,NaN,NaN,3.77541635589552e-10
85,NaN,0.000893827233481794,NaN
100,NaN,0.000670756793493432,5.70677092111683e-10
150,NaN,0.000851866763247785,4.13769261482801e-10
200,NaN,NaN,3.3235889555131e-10
250,NaN,NaN,5.5383793673519e-10
300,NaN,NaN,3.50934241791816e-10
350,NaN,NaN,4.2235951943659e-10
450,NaN,NaN,3.42494615838703e-10
550,NaN,NaN,4.17290151883031e-10
