t,ApoER2_Dab1SFK_Obs,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,SFK_Obs,ApoER2_re_Dab1_Obs
0,6.2781760253464e-05,6.33802217727988e-05,0,0.000604202933710693,1.33860759101715e-06
9.5,1.05689100602284e-06,NaN,NaN,NaN,NaN
20,1.16777984964495e-06,NaN,NaN,NaN,0.000584677120535181
25,NaN,0.057639777609608,NaN,NaN,NaN
30,9.50474674068732e-07,NaN,NaN,4.00347855962819e-05,NaN
35,NaN,NaN,NaN,NaN,0.000583143897689001
40,8.55699194656567e-07,NaN,0.000795008507633297,NaN,NaN
55,1.00982340857913e-06,0.0608264211712655,NaN,NaN,0.00049243278614557
60,NaN,NaN,NaN,5.23932338942626e-05,NaN
65,1.28891060306102e-06,NaN,NaN,NaN,NaN
80,NaN,NaN,0.000859850064987797,NaN,0.000397776461058683
85,1.22489325187305e-06,0.0458116485172779,NaN,NaN,NaN
90,NaN,NaN,NaN,6.07327617820931e-05,NaN
100,8.27247186003942e-07,0.0435020703111607,0.000553225338420677,6.87740271316324e-05,0.000218480696267568
150,7.56567294449955e-07,0.0169988879787842,0.00077456928613834,0.000116818232462911,0.000204370939132718
200,NaN,0.00647127927205842,NaN,0.00016316963884551,5.5425997723058e-05
250,NaN,0.00231198090727115,0.000289083541009282,0.000295878494973826,6.27817114489131e-05
300,NaN,0.00232080280089924,0.00017989798162131,0.000365098147207433,2.66356319488184e-05
350,NaN,0.000873538494845288,0.000166317125896661,NaN,NaN
400,NaN,0.000920204121664458,NaN,0.000512819720879422,NaN
450,NaN,NaN,9.43063936662631e-05,0.000508106184732855,NaN
500,NaN,0.000388909109046549,NaN,NaN,NaN
600,NaN,NaN,6.30522603930655e-05,0.000862704882326189,NaN
