t,Reelin_input,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,SFK_Obs
17,0,0.000144732004441317,0,0.000662686852363925
17,0.00012207,8.27980320004274e-05,3.09489415850328e-11,0.000725350235484417
17,0.00024414,8.96815394439879e-05,6.60513038309684e-09,0.000707831952463172
17,0.00048828,0.000105306610583431,5.80682252384207e-07,0.000543447366725983
17,0.00097656,0.000157753486343914,6.21406986858036e-06,0.000655629030770748
17,0.0019531,0.000274000877993151,4.09344318636357e-05,0.000394505881879569
17,0.0039062,0.000436174267861693,6.94605586223839e-05,0.000475032903601288
17,0.0078125,0.00132206330497552,0.000174716343026279,0.000472087832145788
17,0.015625,0.00145563181498124,0.000269940552647806,0.000425862686447942
17,0.03125,0.00422757576887167,0.000314961668140562,0.000188202120610063
17,0.125,0.0104450579317307,0.000527878509322941,0.00017895672355262
17,0.25,0.0168670346206251,0.000687757635207888,6.74480629675225e-05
17,0.5,0.0353693340469347,0.000998248906619672,3.89137436388373e-05
17,1,0.0541050994043717,0.00100786151946795,3.58637381109149e-05
