t,X_protein_Obs,Y_protein_Obs,X_mRNA_Obs,Y_mRNA_Obs,GFP_mRNA_Obs
0,10.1937555433901,1043.17595272389,97.6121951104898,911.515444495666,6.03220144287695e-06
5,NaN,NaN,NaN,NaN,-1.1944327178767e-08
10,NaN,NaN,NaN,NaN,2.45825298502725e-08
15,NaN,NaN,NaN,NaN,-2.4270448454663e-09
20,1780.51550403199,NaN,-0.115178315634754,NaN,1.45156555096908e-08
25,NaN,NaN,NaN,-1.60842663719127,NaN
30,NaN,11764.3649591605,NaN,NaN,1.46126342002508e-08
40,NaN,NaN,NaN,NaN,1.94445933110514e-08
45,801.416758913723,NaN,0.0412792260730657,0.413967971897449,-3.54914186906788e-09
60,NaN,4456.8428753118,NaN,NaN,9.3432060609602e-09
65,454.867254881313,NaN,NaN,NaN,NaN
70,NaN,NaN,0.370237939664871,2.09040712169769,NaN
90,299.598841993111,NaN,NaN,NaN,NaN
95,NaN,1999.95190184773,0.503268780242483,NaN,NaN
100,325.710285664527,NaN,0.581759070870519,3.68122415562573,NaN
150,1439.52152965166,525.349868198267,2.1853819093009,-4.22986111565398,NaN
200,607.174981333324,246.50402758118,0.107515964651653,1.05963430635705,NaN
250,244.069167361868,1037.80886326276,0.372957913880729,1.00805212805774,NaN
300,NaN,663.80801950323,1.68476244865818,0.375835409869574,NaN
350,625.7249429869,329.461365418805,-0.0101126458252505,2.64073049688987,NaN
400,271.266627917368,NaN,NaN,NaN,NaN
450,NaN,631.628576418912,NaN,NaN,NaN
