t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,57993237.1758864,42688625.9562413,46533981.2540893
30,NaN,31845655.9851806,NaN
35,NaN,NaN,21752107.7857692
40,49675662.91565,NaN,NaN
60,NaN,20323872.5671921,NaN
70,NaN,NaN,6319292.44208668
80,21632616.1637375,NaN,NaN
95,NaN,11490883.0019237,NaN
100,NaN,NaN,9165312.49777924
150,8651213.89669813,4188842.8568816,2414724.21010316
200,5861466.940218,2349094.60354713,1675279.4996623
250,NaN,2641039.54463411,579456.147686848
300,1604818.63630474,707435.12579062,202769.053938361
350,1333903.9114179,495153.378249568,NaN
400,734301.459601484,NaN,200261.484873626
500,106736.716056077,NaN,NaN
600,33637.7959690506,NaN,NaN
700,32205.5798139994,NaN,NaN
850,27542.2668500907,NaN,NaN
