t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,100946774.8562,80313962.5497162,55651003.7477859
35,NaN,9975559.95959659,449242.051273715
45,27605823.7867136,NaN,NaN
70,NaN,4793740.42465129,116093.5651354
90,25241067.3930529,NaN,NaN
100,NaN,8411936.72174418,82899.4244975688
150,5490895.80630893,3209485.12557766,49491.6660669563
200,3821997.38358823,1167062.05006663,39284.3692991951
250,1433388.7852515,1270110.28461656,38972.8320409057
300,934251.810296574,368885.378927819,18270.5039322706
350,196146.197178493,NaN,NaN
400,NaN,98246.2819501348,9326.40436919074
450,96864.3003973039,NaN,NaN
550,69798.2421109856,NaN,NaN
650,26987.9979175239,NaN,NaN
750,21150.2853763063,NaN,NaN
900,21416.0160876402,NaN,NaN
