t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,59827229.3788421,53703664.5101014,38113546.2291115
75,NaN,NaN,49680572.9778501
85,36834123.173235,NaN,NaN
95,NaN,25725374.2731715,NaN
150,17904744.1904794,NaN,26178132.7064383
200,NaN,19459274.0790901,NaN
250,26469351.0289337,NaN,17525086.6039455
300,NaN,18760363.8832719,NaN
350,9255276.37313709,NaN,11492649.9899499
450,10500814.7956782,5538687.36407152,5148636.9470524
550,7787805.40003058,NaN,3685338.10438162
600,NaN,3722311.72123555,NaN
700,3426759.370746,NaN,1377002.65546257
750,NaN,1448260.24145931,NaN
850,1116152.78926855,NaN,1059848.14605222
950,NaN,964748.687532951,NaN
1000,659297.268207422,NaN,NaN
1500,128904.862722417,NaN,NaN
