t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,39812488.5288498,62497829.7220324,35493014.4253225
45,NaN,22757840.9111323,29880020.7579608
50,36566148.6156495,NaN,NaN
90,NaN,NaN,21749505.1199105
95,NaN,24670363.9415407,NaN
100,48573669.939455,NaN,NaN
150,17826084.0830676,19495496.7176688,12716578.1376567
200,19971318.0334193,10051273.3803404,8179982.6627248
250,NaN,4652842.94096976,5843445.20058914
300,9595287.85428539,3901183.67444956,NaN
350,3436124.04590703,NaN,1578062.58200657
400,NaN,1504270.66692636,1666425.43294332
450,2344643.83687198,1765309.25044798,NaN
500,NaN,NaN,735323.775459059
550,700381.478203824,554936.098513914,NaN
650,242745.070472068,639079.362673376,NaN
750,NaN,157274.96624595,NaN
800,111553.173915312,NaN,NaN
850,NaN,123636.200426454,NaN
950,109216.003793629,NaN,NaN
1000,NaN,138289.327153935,NaN
