t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,39417027.9047969,69676262.7122267,50853004.5155658
90,60864472.754003,NaN,NaN
95,NaN,NaN,38954668.2462751
100,NaN,30117274.4287403,NaN
200,15296168.3197833,NaN,20314616.6945245
250,NaN,22564346.2614227,NaN
300,18366112.9988842,NaN,28501779.531406
400,9952718.92610226,17544536.1277347,15205922.8151758
500,15545423.5422377,8204768.6370206,6853984.07192095
650,5003207.81076531,NaN,7023006.95126425
700,NaN,4383679.29947026,NaN
800,2774079.76018216,NaN,5871598.71815027
850,NaN,2573942.17903959,NaN
950,2016112.20803511,NaN,NaN
1000,1758957.10296289,947355.125033446,1357925.36899451
1500,559852.219588056,632134.645134731,252015.021227397
2000,NaN,233906.492348028,NaN
