t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,-28.0174706746609,1517.54332754717,1211.5229343035,2557.74495561048,2167.61433854425
30,6272.71232315867,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,7158.95677458859,NaN
40,NaN,9130.72556248905,5796.23502503662,NaN,5961.37172812419
60,1849.34411593882,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,3421.85052030096,NaN
80,NaN,4537.44522294035,NaN,NaN,3185.9888730781
85,NaN,NaN,3296.47810757961,NaN,NaN
90,886.947130229381,NaN,NaN,NaN,NaN
100,1254.24025974162,2463.43692003917,NaN,2117.48253785487,1723.8341769343
150,2830.37080849554,1496.43485716815,413.920467549061,569.929342253116,193.26863022101
200,1659.64431225618,3256.70484575896,1261.21478572711,1225.0763745359,NaN
250,1748.86389648671,NaN,1617.94270356026,NaN,1377.44226597133
300,NaN,1729.52993537123,198.78998269656,208.947653384556,200.862308370719
350,1433.54463730117,3475.01443063325,NaN,1932.28146999575,1743.32707494262
400,2502.20504832661,NaN,977.742876743491,NaN,NaN
450,NaN,2699.06200470562,286.96782928545,329.727461777795,391.933316521493
550,NaN,1289.0981670477,NaN,NaN,627.90168666205
600,NaN,NaN,318.252545730056,NaN,NaN
650,NaN,3143.72641302058,NaN,NaN,NaN
