t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,34.824535318292,32.5338417625985,0.00475138254566146
9.5,NaN,169.270111943421,NaN
10,9.48162589012698,NaN,NaN
15,NaN,NaN,0.00693736574295996
20,NaN,77.1339441466611,NaN
25,19.1940688870944,NaN,NaN
30,NaN,197.306295515126,0.0295748471422865
35,26.3240584273797,NaN,NaN
40,NaN,132.426201349807,NaN
45,NaN,NaN,0.0237662081198407
50,22.6393266772065,NaN,NaN
55,NaN,54.4992387088924,NaN
65,19.8155958351021,NaN,0.018926919601575
70,NaN,42.4879110033788,NaN
80,20.687448285796,NaN,NaN
85,NaN,66.9043342897589,0.0235932104288129
100,43.4663517425804,36.246106332679,0.00305925342411406
150,20.2064329738734,38.7948829631853,0.00449181970420007
200,20.7891284517435,NaN,0.00455255031663736
250,NaN,NaN,0.00240441766628844
