t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,26.8639999237664,27.025219318576,0.00215964445111497
10,14.5276549760716,NaN,NaN
15,NaN,103.176282004023,0.0100153185379039
20,44.5736558992046,NaN,NaN
25,NaN,79.4475894536193,0.0247030596324922
35,32.2089500768294,NaN,NaN
40,NaN,72.2773529118685,0.0171123381254818
45,41.2436635888854,NaN,NaN
60,9.38511909041054,33.383990995738,0.00981523778583282
75,34.1804572804151,34.0887610629148,NaN
80,NaN,NaN,0.0052615026462773
90,40.3146034957844,NaN,NaN
95,NaN,48.4934895607596,NaN
100,32.4671762554415,42.9157165573962,0.00293953391146029
150,40.4716754996965,78.5995814493978,0.00222371869328253
200,43.7568906796265,38.4940281164202,0.00360740957448876
