t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,25.8088285474868,28.2101110231318,0.0030987349744217
15,NaN,57.3480671159601,NaN
20,13.0323011358573,NaN,NaN
25,NaN,184.973847967785,0.0218002829248433
40,20.4227772339927,58.9243821288261,NaN
45,NaN,NaN,0.0186321437782055
55,NaN,218.592086480947,NaN
60,16.1414515288844,NaN,NaN
75,NaN,146.694664738326,0.053707838972793
85,15.0707112097403,NaN,NaN
90,NaN,141.343442059954,NaN
100,12.543349132884,96.1460978376419,0.0340404562091616
150,33.6095593419545,49.1556238478814,0.0194605170291799
200,16.6271022365849,25.0161461413879,0.00549517941091632
250,38.6269589588732,38.2314149570549,0.00294149364185593
300,45.9464937682541,NaN,0.00140817138951713
350,21.7926298649006,NaN,0.00269975431476384
450,17.2107401641421,NaN,0.00525535410091564
