t,JAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs
0,0.843112657210859,23.2492244221475,35.6723091451734,0.00237659539028766,0.00420596354768189
15,NaN,NaN,181.772437396909,NaN,NaN
20,0.204927852943962,9.27441538432465,NaN,0.0255326434153463,0.0215694646783928
25,NaN,NaN,61.3581438160709,NaN,NaN
35,NaN,8.19152861955303,NaN,NaN,NaN
40,0.205243558934957,NaN,79.0796274561764,0.0318293230873841,NaN
45,NaN,NaN,NaN,NaN,0.0487980604588662
55,NaN,10.7253880751844,62.8685568652128,NaN,NaN
65,0.234652411448198,NaN,NaN,0.0311833267313894,NaN
70,NaN,NaN,NaN,NaN,0.0443677422515484
75,NaN,NaN,109.189187828811,NaN,NaN
80,NaN,11.2181053829513,NaN,NaN,NaN
90,0.31213251103882,NaN,234.316750925987,0.0548956186490487,NaN
95,NaN,NaN,NaN,NaN,0.0299442639958507
100,0.267673892897599,11.9300694689526,135.737177963922,0.0782497363029876,0.02396076460641
150,0.174958386413408,11.3693994531784,94.1171655294827,0.0492225531280466,0.0433474682745321
200,0.318827346145454,16.437995869946,274.571072132378,0.0738258219681963,0.0421497055883891
250,0.176142096025049,21.7586717167773,116.848806093742,0.0452430824982262,0.0390797944959201
300,0.137594493134072,12.9170841768026,105.87486511198,0.0273757822011434,0.0514334396848107
350,0.143978157239567,24.7978233244072,NaN,0.0259462947665116,0.0245294368493508
