t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,44.7596433468548,43.6721961583856,0.00277540071203236
15,19.705567383787,75.6786677582116,0.0144270320982501
30,25.5444794310051,88.3680223822892,NaN
35,NaN,NaN,0.035869006001861
45,22.5341823149999,83.2420841385731,NaN
55,NaN,NaN,0.0128677125617545
60,27.8794749266714,37.7456193341713,NaN
75,NaN,NaN,0.0140018842726151
80,23.7203693922612,40.3976817168094,NaN
100,20.8717248524253,15.648019490468,0.00364636264248317
150,32.308374593397,29.3595607769613,0.00199517331799105
200,32.2555702628388,28.3572751930243,0.00249784905407911
250,29.4430556845435,29.3764261041282,0.00176921315691499
