t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,19.1282926103509,48.22725552814,0.00445494498865022
20,8.78288504164964,85.8689631014722,0.0195955021853893
40,NaN,146.859002325765,0.0213572475696752
45,10.0855102404526,NaN,NaN
60,NaN,141.156444029836,0.0416122790537555
65,19.6204526009084,NaN,NaN
80,NaN,NaN,0.0337831273249504
85,NaN,47.4062799990843,NaN
90,23.0027797651156,NaN,NaN
100,19.7352098689803,75.3161319889173,0.0227933894393035
150,27.8638959314801,26.3087234097678,0.00782512066273398
200,12.3888674835924,29.2809026930848,0.00318339549635197
250,53.2918400759286,45.5566834702413,0.00256574710403486
300,29.9833854179359,76.8221044890442,0.00185035436507147
350,80.2739978117499,41.0508350887732,NaN
400,NaN,NaN,0.00353515372820936
450,48.3513912360067,40.762184629253,0.00501741047615788
