t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,35.6745183919855,32.7946910039825,0.00285834700438737
15,29.4892540811521,229.07684606539,0.00953606143994526
30,23.6840790496364,65.5584747199972,NaN
35,NaN,NaN,0.0130297949139895
45,31.7221728591293,53.5427890336568,NaN
55,NaN,NaN,0.0108996056240147
60,32.2519270798328,45.0180283039659,NaN
75,NaN,40.4942103818475,0.00946030071195601
80,18.607212151423,NaN,NaN
95,NaN,22.9336542664069,NaN
100,26.300845059657,23.2748035585121,0.00341844694119264
150,28.8788878134949,34.3130274965622,0.00453258631028766
200,27.0271981804338,54.5473446692091,0.00168844211552441
250,21.0597358905045,48.7108887838219,NaN
