t,input_il6,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs
14,5,21.6185347106682,78.5194212639359,0.00687560789996018,0.00671310748944578
14,5,15.3586608877193,246.058591888853,0.0122473368777185,0.00401722873541306
14,5,17.0203839945742,114.919835129484,0.0176611808595173,0.00294688438975422
14,5,23.2273706290628,154.015382594642,0.00579154382021323,0.00575760075063402
14,20,8.49360293237061,116.481459231844,0.0105406214005217,0.0048231396961838
14,20,35.1595936734691,97.1356664198615,0.0280358882412484,0.00585167790703692
14,20,22.7314038241051,65.8338630646896,0.0239872877650909,0.00915208662879548
14,20,21.4726520973998,82.7519695466969,0.0201423960687998,0.00753429552221133
14,40,25.831699382404,22.0600211866923,0.00435214487426641,0.00410340982684015
14,40,46.597993937298,86.1137023937222,0.00340192140863628,0.00156336486214245
14,40,13.1686189740312,33.7321145040776,0.0029171465283752,0.00396346450732698
14,40,26.3951014525103,38.6502972905804,0.00553784457165604,0.00526471254154993
14,90,10.1751101549697,205.507232316897,0.0116189474464351,0.00847839630116298
14,90,13.8318817342194,67.4591637936107,0.014614796100249,0.010906681493939
14,90,15.0547675431657,148.048634175,0.0138279203477436,0.00799446441816197
14,90,11.4727348660947,157.055161889292,0.0121803152690268,0.00457244769899231
