t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,20.0693036521157,71.7813399872731,0.00254142987969344
8.5,NaN,NaN,0.00286032777289602
15,NaN,108.41900032354,0.00970835121195265
20,10.3612875286693,NaN,NaN
25,NaN,NaN,0.0350209599091148
35,9.66781269349733,136.627833289773,0.0368743655674456
45,NaN,NaN,0.0260874674108685
55,13.7019456824559,154.938989275251,NaN
60,NaN,NaN,0.00320791959468126
70,NaN,202.364072568169,NaN
75,6.57595888035919,NaN,0.000346886539164031
90,NaN,NaN,5.90773781158455e-06
95,NaN,90.3606887660744,NaN
100,10.5347538600613,156.15156119126,8.79561312179216e-07
150,16.6433106586951,71.3659655980882,7.1978840528499e-12
200,17.2172776005093,55.9763667214959,NaN
250,29.5063571468001,70.5679398942917,NaN
300,25.6453069166597,70.2580738135564,NaN
350,25.8984979954858,NaN,NaN
400,NaN,57.3603043049238,NaN
450,27.4574961854317,64.4341474765353,NaN
