t,input_il6,tpSTAT3_Obs
1200,0.1,0.685580717183095
1200,0.1,1.0967548107933
1200,0.5,0.684364494710506
1200,0.5,0.764002008916038
1200,1,0.70667855772975
1200,1,1.13075820518696
1200,2.5,1.78449703636503
1200,2.5,2.63799945636991
1200,5,3.29461035477198
1200,5,5.41768376651191
1200,10,5.85280288319043
1200,10,13.9190413273367
1200,25,6.95608975441928
1200,25,7.98849181123065
1200,50,7.84699180186475
1200,50,12.0053506849662
1200,100,27.1227829041783
1200,100,28.9835310476287
1200,500,15.6354811726946
1200,500,19.5884211414915
