t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,40.8059355334372,59.8005237874311,0.00154320331480506
15,16.1701968304884,78.0514637964932,0.00932137345569876
25,NaN,120.80227805769,NaN
30,6.88183677529985,NaN,NaN
35,NaN,NaN,0.0310444697015055
40,NaN,106.653484424058,NaN
50,38.3277699545364,NaN,NaN
55,NaN,74.480966500654,0.033264955372486
65,35.91084811482,NaN,NaN
75,NaN,61.6143501709401,0.0085808442315373
90,25.2491212490795,NaN,NaN
95,NaN,24.173349796108,NaN
100,45.3858776127944,38.0713085271946,0.00415946590753929
150,17.7025631049019,48.0356182860695,0.00444799221932441
200,20.1681443673504,22.9026515573065,0.00291770932002459
250,60.4228371080294,NaN,0.00280016644938232
