t,JAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs
0,0.962641117487418,45.3258746415324,29.3874231646933,0.00330865864009886,0.00162141082250891
20,NaN,40.0872515948707,73.5471826219066,0.00507961513758286,NaN
25,0.569698717287269,NaN,NaN,NaN,0.00590223852848915
35,NaN,NaN,120.042522697362,NaN,NaN
40,NaN,NaN,NaN,0.0239847284878646,NaN
45,NaN,37.7500845058582,NaN,NaN,NaN
50,0.266314026250009,NaN,NaN,NaN,0.0119614891595622
55,NaN,NaN,63.6177935888395,NaN,NaN
65,NaN,NaN,NaN,0.0363143799140233,NaN
70,NaN,22.6049251364526,NaN,NaN,NaN
75,1.02914867812416,NaN,88.8690366459409,NaN,0.0167093338743239
90,NaN,NaN,NaN,0.0324810456168122,NaN
95,NaN,48.0810954941934,NaN,NaN,NaN
100,0.385597717492106,30.9669472320544,94.9160533798493,0.0189423847781743,0.0153698782620672
150,0.530701562592811,29.6764423923181,52.7691928449295,0.026550446440713,0.0176224872710665
200,0.385694446091027,22.2313476798254,76.8906902374245,0.0376330476205802,0.0308322962905236
250,0.821328855055603,18.9828148708198,51.0266541489729,0.02739329711714,0.0152394710527161
300,0.505710170703078,30.8739417861267,92.0537266541624,0.0283125897035423,0.0176708915273228
350,0.354356038481864,17.4055628912829,61.3693277687282,NaN,0.026375447215499
400,NaN,NaN,NaN,0.0193914761325096,NaN
450,0.634067072149675,32.1857587397512,53.9613409677208,NaN,0.0199021354286746
