t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,45.97155355199,40.1572886575125,0.00250160765459555
10,NaN,NaN,0.00669657339375009
15,9.77507805219639,89.3006128294968,NaN
25,NaN,135.953586053488,0.000362791846445996
30,10.8181495229968,NaN,NaN
40,NaN,236.307649293536,0.00260968521345792
45,4.5361417147272,NaN,NaN
55,NaN,NaN,0.0274771534216797
60,NaN,102.818279523007,NaN
65,14.657245052839,NaN,NaN
75,NaN,116.81486116778,0.0569635934580107
85,16.8203153097661,NaN,NaN
95,NaN,80.262126007688,0.0455161744154117
100,15.3530555533679,213.837564802516,0.0364126312264562
150,16.7375900902502,109.574758745885,0.0288722527859983
200,10.89925033897,69.1858200903054,NaN
250,32.418752590472,NaN,NaN
