t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs
0,28.0909513064164,26.8551743976991,0.00626935700655277,0.00182261699410748
10,16.0852712860029,98.4533754659603,NaN,NaN
15,NaN,NaN,0.0225766302101194,NaN
20,NaN,NaN,NaN,0.0119003619990276
25,15.7722746458471,169.619031748114,NaN,NaN
30,NaN,NaN,0.0333088148400472,NaN
35,NaN,86.0861891591401,NaN,NaN
40,14.9329212348079,NaN,NaN,NaN
45,NaN,NaN,NaN,0.0310225106923252
50,NaN,57.9872618452115,0.0316447095942688,NaN
55,23.0231913099909,NaN,NaN,NaN
65,NaN,82.4655028128477,0.00941534367168664,0.0224549013976103
70,39.521364765455,NaN,NaN,NaN
85,58.087616674415,43.7612875873859,NaN,NaN
90,NaN,NaN,0.0101431227388308,NaN
95,NaN,NaN,NaN,0.0047292811073048
100,39.9616791801722,33.2990249336734,0.00332396843976494,NaN
150,74.8965801106358,44.2522730774601,0.00485793632397615,0.00355258925060151
200,29.0380349861774,18.834334030375,0.00330859371891087,0.00171007225032412
250,42.8402460785333,NaN,NaN,0.00226298192256821
