t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,43.2397608058549,49.9323210824176,0.00182831271186582
10,NaN,150.635620931265,NaN
15,43.2423634749384,NaN,NaN
20,NaN,NaN,0.0173137497501646
25,NaN,108.582974409034,NaN
30,24.2922693910113,NaN,NaN
35,NaN,36.1045769136853,NaN
40,23.5298443033237,NaN,0.0089538337863529
50,NaN,42.4346291255876,NaN
60,25.11073626231,NaN,0.00370171181722357
65,NaN,63.7349534083049,NaN
75,75.3615401594476,NaN,NaN
80,NaN,45.7278985634802,NaN
85,NaN,NaN,0.00706189514090796
95,16.2161647939678,NaN,NaN
100,29.980731269333,44.1734386322218,0.00202666791461172
150,70.6773064351525,55.5527873025953,0.00298915827668225
200,64.8052525507401,17.4898942206832,0.0026838856713084
250,30.8630805730312,NaN,0.00403361942639616
