t,input_il6,tpSTAT3_Obs
38,0,2.59844757434403
38,0,2.96399891885935
38,0,3.41302279099105
38,0,3.01441836582318
38,0,2.68819981719621
38,0,2.69540561614087
38,0.0005,3.23931040735032
38,0.0005,2.85937812832977
38,0.0005,3.67737749418073
38,0.0005,2.94824780482174
38,0.0005,2.57922505534635
38,0.0005,2.35077437039125
38,0.0005,2.3160732175715
38,0.0005,1.53307659165384
38,0.005,3.59661462518037
38,0.005,2.01327633352721
38,0.005,1.66222782676874
38,0.005,1.8414731863028
38,0.005,1.95817961646157
38,0.005,1.9872443401159
38,0.05,2.61357189325304
38,0.05,2.89206765373516
38,0.1,2.54254246166977
38,0.1,2.79033449024761
38,0.1,1.4540236309241
38,0.1,1.95323688548271
38,0.1,1.68102448250124
38,0.1,3.78458756369159
38,0.5,6.97037533832301
38,0.5,3.74911411589177
38,0.5,2.76606532839662
38,0.5,2.36800567070474
38,0.5,2.9892193094477
38,0.5,3.28302777071654
38,0.5,4.12215037215692
38,0.5,1.78442314656621
38,1,5.78952446124174
38,1,9.84366949525995
38,1,4.82479252369279
38,1,6.48091525493015
38,2.5,9.16193111531256
38,2.5,11.3071664205482
38,2.5,7.03423736599403
38,2.5,15.6703830812327
38,2.5,12.2496700377573
38,2.5,13.5399544638304
38,5,9.50759202919561
38,5,12.6546560160309
38,10,15.0046018630069
38,10,8.43824948614404
38,10,31.7978090849068
38,10,22.0625397869084
38,10,24.8843459022296
38,10,32.6733060812859
38,10,7.8891608260073
38,10,6.886500063415
38,25,8.33864810390826
38,25,6.32758550518673
38,25,3.33135623580621
38,25,5.45457502020326
38,25,24.5113817479741
38,25,31.5623056064217
38,25,25.7783732374662
38,25,20.9182926889407
38,50,17.1106909756483
38,50,9.69784897321117
38,50,9.53655229542576
38,50,17.6808722058861
38,50,15.9247952801353
38,50,25.1911174234134
38,100,21.9152188466157
38,100,10.5054756713612
38,100,8.35674136228476
38,100,8.54325657079492
38,100,15.5547641106219
38,100,20.2203129540963
38,200,18.1351641702549
38,200,28.4598345664271
38,200,32.5418199561715
38,200,26.6198915958533
38,500,35.3504618510294
38,500,20.821366998949
38,500,23.7856751230034
38,500,29.0589109158677
38,500,12.3394978366855
38,500,23.7971699654499
38,500,19.0603339796172
38,500,33.5623051343587
