t,input_il6,tpSTAT3_Obs
920,0.1,1.94362999397183
920,0.1,2.04203708110948
920,0.5,2.01120012812436
920,0.5,2.24340891370083
920,1,2.57424967317397
920,1,6.27103724931768
920,2.5,9.2473595285474
920,2.5,11.1214725426307
920,5,9.59464490850331
920,5,11.2369172096273
920,10,8.93968745789305
920,10,14.5176792044401
920,25,20.1168508256349
920,25,25.5910445683193
920,50,13.2527661151167
920,50,25.4329100710469
920,100,13.4421252073495
920,100,13.7655340568647
920,500,9.88071296342369
920,500,28.6875363959412
