t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,33.4230983172468,29.4603703760161,0.00262294854544812
10,40.0901763187128,106.756844229713,NaN
15,NaN,NaN,0.00736056806894629
25,15.1067376966262,94.0535010468779,NaN
35,31.6972607598971,80.3422994396984,0.0253001996160964
50,24.2787070762584,83.9173410126542,NaN
55,NaN,NaN,0.0458611638478321
65,14.2691033081104,42.6206921320436,NaN
75,NaN,NaN,0.0154715465252945
80,NaN,53.2170238602303,NaN
85,53.4655249259853,NaN,NaN
100,53.6682456734986,30.6915742332183,0.00414520345141082
150,19.7361998719265,24.9736727988415,0.00394462433190826
200,64.9605609840166,36.3975506007442,0.00131171367646407
250,NaN,NaN,0.00570130457921032
