t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs
0,0.410550272555543,30.0106797565074,1.45212449720976,25.3975929870393,0.00281502700802349,0.00292269782394566,0.0040985539531554
10,NaN,NaN,NaN,86.8583349677514,NaN,NaN,NaN
15,NaN,18.1217973439256,14.1689110076533,NaN,NaN,NaN,NaN
20,0.163631041234991,NaN,NaN,NaN,0.0421508294291254,0.0172222074701673,0.0182478595194624
25,NaN,NaN,24.5357933785477,143.261361164522,NaN,NaN,NaN
30,NaN,20.5238636514167,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,110.710534350138,NaN,NaN,NaN
40,0.175534665652065,NaN,13.2965917381299,NaN,0.0258139397703372,NaN,NaN
45,NaN,19.980840494583,NaN,NaN,NaN,0.038927604460517,0.0297060334900987
50,NaN,NaN,NaN,244.256717319192,NaN,NaN,NaN
55,NaN,NaN,27.7056243007691,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.0261010176020881,NaN,NaN
65,0.449868177501599,28.2965796650166,NaN,219.876010421003,NaN,NaN,0.0202174987883585
70,NaN,NaN,NaN,NaN,NaN,0.0255407166400281,NaN
75,NaN,NaN,27.0147568987676,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,71.2475680727593,NaN,NaN,NaN
85,NaN,9.92755330394092,NaN,NaN,0.0284648593273103,NaN,NaN
90,0.385021506509291,NaN,17.7644538136362,NaN,NaN,NaN,0.0419716745135095
95,NaN,NaN,NaN,NaN,NaN,0.0397829188951864,NaN
100,0.616806503080697,9.95029848623075,27.8756818932264,103.775256266841,0.068635507531537,NaN,0.0495481489345996
150,0.205514010022046,8.77144796267521,21.3745527772549,171.381534324982,0.0257056310559964,0.046397669716782,0.0460367644587897
200,0.25618234791827,12.0831448302909,21.0508814801645,108.677731183028,0.0481224504194744,0.0349978250738281,0.0242658954678172
250,0.199984196490101,25.0810852674881,13.8771635576019,80.7383397098712,0.0458459908281372,0.0293583185877475,0.0322864437760865
300,0.283183119181122,11.4246976147261,8.10623712310941,NaN,0.0467571503247995,0.0364034382119464,0.0271493479204456
350,0.366063290112455,NaN,NaN,NaN,NaN,0.0353060323593079,0.0414907448664633
