t,JAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,0.384535144856125,30.3854612458056,41.9723514577741,0.00269764866771567
20,NaN,30.245700352113,108.765489337935,0.00625366542655709
25,0.601062551844889,NaN,NaN,NaN
40,NaN,15.439498007835,NaN,NaN
45,NaN,NaN,34.6654069883864,0.00688001806261808
50,0.767091022179076,NaN,NaN,NaN
60,NaN,16.0185049449337,NaN,NaN
70,NaN,NaN,47.3435540074778,0.0118718176301332
80,0.458884844788146,NaN,NaN,NaN
85,NaN,24.4137053292865,NaN,NaN
95,NaN,NaN,90.2585857285412,0.00915703334919347
100,0.309264439670034,30.6833850138111,36.7499393110026,NaN
150,0.625019475251282,19.1116981869367,81.5792858444085,0.0207342495139234
200,0.405483639657528,14.1773199958392,94.6439506623011,0.0168652895022064
250,0.389392513602238,43.894912666699,44.0204061040231,0.0176638010738517
300,0.648467273003005,16.4544296934062,41.1659947072418,0.0160305964949802
350,0.511240697041821,17.3448197057373,71.1699782720635,NaN
400,NaN,NaN,NaN,0.0153157415627308
450,1.10125972488966,57.4917788590278,63.0957752078061,NaN
