t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs
0,33.4851632247028,30.0075017997093,0.00169255185890714,0.00373156654034185
10,15.9360213193262,110.146439263798,NaN,NaN
15,NaN,NaN,0.0121959580943572,0.0093184114775814
25,28.2005259315085,66.618236148342,NaN,NaN
35,38.8206331503759,111.115201893751,0.00872425671402178,0.0172878012058302
50,29.6104572716633,42.8622664665208,0.00686092675100925,0.0066222740085224
65,46.7547495825793,31.462804929428,NaN,NaN
70,NaN,NaN,0.00393375812956579,0.00240049197367499
80,NaN,28.4475753345558,NaN,NaN
85,68.305685410326,NaN,NaN,NaN
90,NaN,NaN,0.00403345698076932,NaN
95,NaN,40.6942123480867,NaN,0.00219932290610815
100,38.8916516063195,27.0516530175378,0.00494991209963158,NaN
150,18.2109720591914,49.1352644856948,0.0027636055936247,0.00279121398512443
200,33.8104637514143,54.2189128980144,0.00489569535229428,0.00631734071261876
250,39.6867892129807,NaN,NaN,NaN
