t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,22.6466251147299,33.1401141080616,0.00242222026376429
5,NaN,NaN,0.00234801195231223
10,NaN,NaN,0.00626444868415699
15,NaN,NaN,0.00276854053952866
20,NaN,111.361831364003,NaN
25,8.91763475665274,NaN,0.00051873086981935
30,NaN,NaN,0.000233261912474718
35,NaN,64.2352016812903,NaN
40,NaN,NaN,2.45194633125338e-05
45,15.0193363968577,NaN,1.91281475608238e-05
55,NaN,96.3515858801642,NaN
60,NaN,NaN,1.02079800488135e-06
70,26.0735893550693,NaN,4.87761965276009e-08
75,NaN,180.14104897276,NaN
85,NaN,NaN,3.31536670950027e-09
95,NaN,82.9197010960265,NaN
100,19.982700318046,74.1379473457145,NaN
150,21.6075940468986,114.180875386431,NaN
200,43.6966810894751,73.048436956393,NaN
250,21.356543477855,101.876077919117,NaN
300,16.1495987529668,38.6256307421553,NaN
350,48.8743778290415,44.8174315252681,NaN
450,38.2819195057694,64.5526890089285,NaN
