t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,36.5711707159144,34.4200879690329,0.00225653255491129
9.5,NaN,46.7063515434229,NaN
15,12.9455038592163,NaN,0.00431435115805864
20,NaN,155.574432200507,NaN
25,19.9101652275961,NaN,NaN
30,NaN,90.7397430093948,NaN
35,NaN,NaN,0.0376875524817541
40,23.7337640066612,41.3653956930617,NaN
55,32.4619903036484,57.3123384380556,0.0256693347780131
65,NaN,41.4123223991819,NaN
75,43.0499594213106,NaN,0.00796027445895658
85,NaN,37.808385423808,NaN
95,20.8665992342491,NaN,0.00698378411871146
100,30.6393179705302,22.9342518351516,0.00473566768525366
150,16.9185283293583,11.1859677447617,0.0030083407840649
200,26.6329033215424,46.5169215332321,0.00374525314999722
250,NaN,NaN,0.00388726725386968
