t,input_il6,tpSTAT3_Obs
390,0.1,2.03078677933499
390,0.1,5.21090697601651
390,0.5,2.06825621261033
390,0.5,2.76737021278886
390,1,6.39850825741095
390,1,3.56490040664478
390,2.5,12.9946040712141
390,2.5,13.8370889281164
390,5,10.7269857075248
390,5,12.338808058475
390,10,6.26847993899809
390,10,4.55143312681239
390,25,11.9035476018807
390,25,10.0854883890661
390,50,17.3716184593909
390,50,8.34942974786247
390,100,18.6124602126602
390,100,25.3552446200017
390,500,17.053386297127
390,500,33.9404762181641
