t,JAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs
0,0.800790406008801,29.8250112960422,29.5666810058541,0.00299940039465935,0.00459844284732098
15,NaN,16.1331013273174,156.641799549293,NaN,NaN
25,0.678400153500646,NaN,NaN,0.0162608956502557,0.00946764485251784
30,NaN,NaN,124.510714875396,NaN,NaN
35,NaN,11.8954510766714,NaN,NaN,NaN
45,0.474638130226821,NaN,85.9244294444845,NaN,NaN
50,NaN,21.7258925236969,NaN,NaN,0.0159230206563754
55,NaN,NaN,NaN,0.026392808875516,NaN
65,NaN,NaN,57.453940399157,NaN,NaN
70,0.383136128347069,22.4452183819336,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.0172084469437458
80,NaN,NaN,NaN,0.0233694953218149,NaN
85,NaN,NaN,79.9756369171352,NaN,NaN
90,NaN,27.1796656864789,NaN,NaN,NaN
100,0.686345791051736,19.6125876964428,60.6020953694322,0.0289871692955986,0.0340784948500586
150,0.546518009775133,20.7338035273135,95.4224937560131,0.021089556554062,0.0229779516843799
200,0.377535570086188,15.6963553706233,61.0840270058951,0.0245737944817635,0.0172145371079672
250,0.44448384042589,34.9415157712115,86.1361856800265,0.0494896544583645,0.0393815375853191
300,0.248353921538113,NaN,75.3656537590137,0.0363243412822725,0.0253472960254618
350,0.3209855532099,26.2524797823461,70.4412966823399,NaN,NaN
400,NaN,NaN,NaN,0.022887183794796,0.0270059704391257
450,0.544618884007419,NaN,NaN,NaN,NaN
