t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,49.1761727017263,33.4073968197839,0.00292173948114172
10,NaN,107.112862367658,NaN
15,7.98949416442932,NaN,0.0136565669794209
20,NaN,65.254224279052,NaN
30,45.8427655296566,82.5851691382396,0.0198926266018269
45,NaN,99.1282565929994,0.0107729058043613
50,64.2022680354344,NaN,NaN
55,NaN,39.4255384630439,NaN
65,29.9250742727473,NaN,0.00681575320801608
70,NaN,47.0217024560154,NaN
85,31.2457756287006,20.2566458892119,0.00871269518819943
100,49.3898685629383,37.8768144393652,0.00340355572333485
150,18.331791366862,38.3979473029255,0.00152848621306391
200,32.0151109013122,83.3298968136674,0.00641484557160434
250,20.7178010452086,NaN,NaN
