t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,19.2394125626404,23.2042300225133,0.00244934450719641
10,16.2953950514309,97.471763235575,NaN
20,20.8021488950693,NaN,0.0121196741652106
25,NaN,89.9809727202833,NaN
35,11.2953251177901,NaN,NaN
40,NaN,133.761601774315,0.0507121343046815
45,40.6056545865295,NaN,NaN
50,NaN,95.2516804564092,NaN
60,30.1843074535897,NaN,NaN
65,NaN,NaN,0.00864037697448888
70,NaN,30.2946072765071,NaN
75,27.1264304281454,NaN,NaN
85,NaN,27.7265225795838,NaN
90,NaN,NaN,0.00853442750489257
95,16.1314333872725,NaN,NaN
100,141.727619794014,21.3356092280662,0.00612574998039439
150,20.1487959989581,18.3653426852923,0.00251813914098827
200,NaN,22.4400787108207,0.00303069653062635
250,NaN,NaN,0.00290410502624321
300,NaN,NaN,0.00197927074081967
