t,IPR_R_Obs,IPR_A_Obs
0,1.02389420256124,0.022565096166629
0.085,NaN,0.711783995654802
0.1,0.108148809738444,NaN
0.15,NaN,0.641251794972618
0.2,-0.00962479519489567,NaN
0.25,NaN,0.49887312827267
0.3,0.0188741704130078,NaN
0.35,NaN,0.400450106932934
0.45,0.0324711774628378,0.288222665165848
0.55,0.00904359465363917,NaN
0.6,NaN,0.270770204031183
0.7,NaN,0.311708699460152
0.75,-0.013640795859831,NaN
0.85,NaN,0.18601761127331
0.9,-0.00717697675332479,NaN
1,0.00705173104008394,0.220715901060113
1.5,NaN,0.241501222688859
2,NaN,0.142633747701928
