t,IPR_R_Obs,IPR_A_Obs
0,0.987973553101176,-0.0278935203833821
0.08,0.00584235901817075,NaN
0.15,0.00592434690435826,NaN
0.25,0.00840388251602468,0.490939931709971
0.35,-0.00642984567634461,NaN
0.45,-0.000421871015060904,NaN
0.5,NaN,0.337899430905303
0.6,0.00340153141108742,NaN
0.75,0.0139962414356895,NaN
0.8,NaN,0.329947279976198
0.9,-0.00677552212409317,NaN
1,NaN,0.26025432330728
1.5,NaN,0.342627905229351
2,NaN,0.275794540427113
2.5,NaN,0.290049905673823
3,NaN,0.268806066964476
4,NaN,0.271573150572393
4.5,NaN,0.267186870356051
