t,IPR_R_Obs,IPR_A_Obs
0,0.99914208732576,-0.0666668683902447
0.085,0.109159707483655,NaN
0.15,0.0274398931471278,NaN
0.2,NaN,0.706010773775029
0.25,-0.00299075805003945,NaN
0.4,0.00768231042882332,0.502018623078203
0.5,-0.00172105048094679,NaN
0.65,-0.00234786648418788,0.351774952779353
0.8,0.00595814917788944,NaN
0.85,NaN,0.348742527660667
1,0.0161235888981031,0.360398356674121
1.5,NaN,0.280092100333399
2,NaN,0.297144314152783
2.5,NaN,0.316379220907898
3,NaN,0.293984538596768
3.5,NaN,0.360519602070422
