t,IPR_R_Obs,IPR_A_Obs
0,1.00040906096084,0.00505985998496342
0.09,0.0524845416061851,NaN
0.2,-0.00232226434852135,0.704047575899963
0.3,0.0143475942083466,NaN
0.4,0.0159472382982942,0.531041785565384
0.5,0.00142227740839273,NaN
0.6,NaN,0.401943142487228
0.65,0.016197758524231,NaN
0.8,-7.31585073960108e-05,NaN
0.85,NaN,0.353554121693811
1,0.0183982578846058,0.309607865233699
1.5,NaN,0.368282438400302
2,NaN,0.407313371421793
2.5,NaN,0.24411280087093
3,NaN,0.31670086577641
3.5,NaN,0.411324511236017
